City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity
Visakhapatnam,2013-01-01,24.52086310661233,328.7007829016865,120.49335586921245,35.927750815732,1.8903035790899252,70.5673073084701,38.76106433806267,78.37926037411522
Ranchi,2013-01-02,95.7016576793472,25.053415463140013,21.332831661645535,98.51325313755271,9.466214838830536,31.49178605034548,16.951137111608755,28.719416893081153
Nashik,2013-01-03,220.60534442627238,345.5174900976101,65.64862942108685,59.550647221832904,9.1224554924723,36.997878309186326,18.70541577847087,59.75203669017869
Jabalpur,2013-01-04,94.21748622022388,193.2000129277995,121.14808597138884,86.01152211389947,9.432340183940584,92.24926027731411,13.60506517323514,65.57980162124295
Chennai,2013-01-05,292.87675444231655,208.58288490588163,63.7006655302433,40.82740562546601,1.858230161819808,76.21081166687854,11.092772683867345,56.78603248399231
Vadodara,2013-01-06,80.2007254423199,122.8698522383844,144.98579964807385,20.059811904540766,6.653253732602788,97.04159758068582,42.201087123587406,64.64661338383675
Chandigarh,2013-01-07,79.70282559126926,367.6315190598207,109.92475726795732,9.868724296832543,7.4382366184766875,57.39208154971441,44.64762731920375,25.63424687447175
Kolkata,2013-01-08,117.83536201471904,61.89486773081934,83.62419711859766,97.9208649029006,4.315320561939225,80.56963552304934,35.23889078490334,83.53165362985565
Allahabad,2013-01-09,220.5874379322087,26.234642550855522,45.903443210378356,76.98882690742242,7.032167476171139,58.030869513993444,39.96107971205973,96.56820765795925
Kolkata,2013-01-10,239.32229798492736,249.17495238992024,25.22878434997174,6.195078553977566,1.842702730675568,58.49488241705872,15.98154680817062,25.63006025586681
Ranchi,2013-01-11,118.44312384984461,310.1391358104047,129.32032028450627,30.424101051888904,5.609247020870837,29.840199017055724,15.586855343935028,59.623621352023626
Aurangabad,2013-01-12,53.95900186845727,195.23675369329803,117.51361396265156,12.960687108495907,7.494547464492527,17.066275337801905,19.94510033141752,56.78599890596815
Nashik,2013-01-13,126.73805411073596,344.1624741327731,38.742524521820556,45.57963200414085,9.779154624204928,98.9774367952666,16.97683820284392,61.87968660873251
Kota,2013-01-14,229.3863428227878,254.14839593925902,62.28278485551343,62.77683609470544,6.566381917678394,69.77630923443249,11.576331705287219,32.04859530158807
Delhi,2013-01-15,169.89131329866024,322.88410170536963,23.8906635047589,73.09035561251856,1.0285737522148894,56.06373786084254,18.252826514730632,20.270375692777147
Vijayawada,2013-01-16,99.02289028768689,276.5937489637662,106.55036737877367,36.95083610503759,3.5896193289763065,79.15906916692228,33.72597261594299,78.79106543434526
Navi Mumbai,2013-01-17,22.301071990730613,62.74666831980678,68.21948763586278,17.90729059063934,0.5717102881160008,58.50696487616175,40.69807488046791,98.54481747896793
Jaipur,2013-01-18,157.02393770211495,85.73149287905771,134.89059672354637,87.79905202241389,8.183134508494264,72.41528643129999,31.89249758975299,94.05883672550596
Mumbai,2013-01-19,243.32352800476076,182.28307049720215,82.96219797182194,69.85920509631896,7.086626733753365,48.257572290735354,38.59635862756723,82.86740197822752
Ludhiana,2013-01-20,251.7766518678546,328.4692687806726,20.351189716469044,47.680117625943765,3.1676219073007745,93.29564844196486,20.322204348358895,85.6356614694256
Chandigarh,2013-01-21,181.19763897159888,31.17366576701919,81.14068501941311,82.65799153457326,6.594688736904412,54.855600173663696,39.84410140572582,77.76722039441677
Jabalpur,2013-01-22,64.81947906368772,218.1038345356254,61.181541112427524,40.388455950373164,0.5516049837144809,21.7530683983646,35.78904978768568,96.07692260564589
Mumbai,2013-01-23,275.99027578508844,50.07438885616928,49.87359292650315,67.45475467820707,2.0418285681120287,43.94846266051626,44.49046821010852,81.00448313738005
Hyderabad,2013-01-24,220.34626797639004,291.41761174076163,21.785234216016217,85.44610329171098,1.2295340845516884,93.267567656376,17.575313527747657,81.98077277115306
Vadodara,2013-01-25,243.72681023937,192.20224203912517,29.674510039901634,72.1044843395486,3.0929303829463266,53.690448685864794,22.087374880892497,24.86749184976075
Agra,2013-01-26,191.97860408163058,338.1799414288997,32.176165534941624,55.30419109693313,8.100211068378092,80.82835021278512,13.101831237160091,52.95766860485316
Vijayawada,2013-01-27,246.79846975384507,290.39575873547506,118.6736254784783,57.95269972370022,4.633265598818491,34.28694723003754,27.339358103116076,58.98708277271965
Amritsar,2013-01-28,131.393172449887,318.57592360359024,111.13151469062414,73.13420996125573,1.5117860399640397,73.45296351375868,23.052544704980534,68.13151482201494
Jaipur,2013-01-29,151.19515534434143,356.7605847018374,134.5704199054509,23.519852161829945,3.642571019562078,13.405706539886612,28.458902008165545,90.45503268906334
